time;section_name;reef_section;transect_id;point_id
Miocene;Ciolo;reef front;CGL2;Sediment
Miocene;Ciolo;reef front;CGL2;Sediment
Miocene;Ciolo;reef front;CGL2;Sediment
Miocene;Ciolo;reef front;CGL2;Sediment
Miocene;Ciolo;reef front;CGL2;Sediment
Miocene;Ciolo;reef front;CGL2;Sediment
Miocene;Ciolo;reef front;CGL2;Sediment
Miocene;Ciolo;reef front;CGL2;Sediment
Miocene;Ciolo;reef front;CGL2;Sediment
Miocene;Ciolo;reef front;CGL2;Sediment
Miocene;Ciolo;reef front;CGL3;Sediment
Miocene;Ciolo;reef front;CGL3;Sediment
Miocene;Ciolo;reef front;CGL3;Sediment
Miocene;Ciolo;reef front;CGL3;Sediment
Miocene;Ciolo;reef front;CGL3;Sediment
Miocene;Ciolo;reef front;CGL3;Sediment
Miocene;Ciolo;reef front;CGL3;Sediment
Miocene;Ciolo;reef front;CGL3;Sediment
Miocene;Ciolo;reef front;CGL3;Sediment
Miocene;Ciolo;reef front;CGL3;Sediment
Miocene;Ciolo;reef front;CGL3;Sediment
Miocene;Ciolo;reef front;CGL3;Sediment
Miocene;Ciolo;reef front;CGL3;Sediment
Miocene;Ciolo;reef front;CGL3;Sediment
Miocene;Ciolo;reef front;CGL3;Sediment
Miocene;Ciolo;reef front;CGL3;Sediment
Miocene;Ciolo;reef front;CGL3;Sediment
Miocene;Ciolo;reef front;CGL3;Sediment
Miocene;Ciolo;reef front;CGL3;Sediment
Miocene;Ciolo;reef front;CGL4;Sediment
Miocene;Ciolo;reef front;CGL4;Sediment
Miocene;Ciolo;reef front;CGL4;Sediment
Miocene;Ciolo;reef front;CGL4;Sediment
Miocene;Ciolo;reef front;CGL4;Sediment
Miocene;Ciolo;reef front;CGL4;Sediment
Miocene;Ciolo;reef front;CGL4;Sediment
Miocene;Ciolo;reef front;CGL4;Sediment
Miocene;Ciolo;reef front;CGL4;Sediment
Miocene;Ciolo;reef front;CGL4;Sediment
Miocene;Ciolo;reef front;CGL4;Sediment
Miocene;Ciolo;reef front;CGL4;Sediment
Miocene;Ciolo;reef front;CGL4;Sediment
Miocene;Ciolo;reef front;CGL5;Sediment
Miocene;Ciolo;reef front;CGL5;Sediment
Miocene;Ciolo;reef front;CGL5;Sediment
Miocene;Ciolo;reef front;CGL5;Sediment
Miocene;Ciolo;reef front;CGL5;Sediment
Miocene;Ciolo;reef front;CGL5;Sediment
Miocene;Ciolo;reef front;CGL5;Sediment
Miocene;Ciolo;reef front;CGL5;Sediment
Miocene;Ciolo;reef front;CGL5;Sediment
Miocene;Ciolo;reef front;CGL5;Sediment
Miocene;Ciolo;reef front;CGL5;Sediment
Miocene;Ciolo;reef front;CGL5;Sediment
Miocene;Ciolo;reef front;CGL5;Sediment
Miocene;Ciolo;reef front;CGL5;Sediment
Miocene;Ciolo;reef front;CGL5;Sediment
Miocene;Ciolo;reef front;CGL5;Sediment
Miocene;Ciolo;reef front;CGL5;Sediment
Miocene;Ciolo;reef front;CGL5;Sediment
